country,scenario,month,predicted_norm_volume
Russia,no_exchange_license_required,9,0.006551585
Russia,no_exchange_license_required,10,0.006452617
Russia,no_exchange_license_required,11,0.0064018974
Russia,no_exchange_license_required,12,0.0065624034
Russia,no_license_intensity,1,0.0055811987
Russia,no_license_intensity,2,0.006075669
Russia,no_license_intensity,3,0.0062031318
Russia,no_license_intensity,4,0.0062184567
Russia,no_license_intensity,5,0.0061004814
Russia,no_license_intensity,6,0.0061275214
Russia,no_license_intensity,7,0.0062880274
Russia,no_license_intensity,8,0.0061822734
Russia,no_license_intensity,9,0.006154616
Russia,no_license_intensity,10,0.006272591
Russia,no_license_intensity,11,0.006272591
Russia,no_license_intensity,12,0.0063128853
Russia,no_tax_rate,1,0.0059595234
Russia,no_tax_rate,2,0.0063999034
Russia,no_tax_rate,3,0.0066352966
Russia,no_tax_rate,4,0.006594476
Russia,no_tax_rate,5,0.00668199
Russia,no_tax_rate,6,0.0064479895
Russia,no_tax_rate,7,0.006639099
Russia,no_tax_rate,8,0.006603423
Russia,no_tax_rate,9,0.006546967
Russia,no_tax_rate,10,0.006586312
Russia,no_tax_rate,11,0.0064018974
Russia,no_tax_rate,12,0.0064018974
Russia,no_aml_flag,1,0.0059595234
Russia,no_aml_flag,2,0.00652454
Russia,no_aml_flag,3,0.0066352966
Russia,no_aml_flag,4,0.0065541817
Russia,no_aml_flag,5,0.006589858
Russia,no_aml_flag,6,0.00651076
Russia,no_aml_flag,7,0.006546967
Russia,no_aml_flag,8,0.0064018974
Russia,no_aml_flag,9,0.0064018974
Russia,no_aml_flag,10,0.006586312
Russia,no_aml_flag,11,0.0064018974
Russia,no_aml_flag,12,0.0065536285
Russia,no_aml_severity,1,0.0064774114
Russia,no_aml_severity,2,0.006650738
Russia,no_aml_severity,3,0.00686926
Russia,no_aml_severity,4,0.0068005896
Russia,no_aml_severity,5,0.0068713557
Russia,no_aml_severity,6,0.006972603
Russia,no_aml_severity,7,0.0068684006
Russia,no_aml_severity,8,0.006855115
Russia,no_aml_severity,9,0.0068525034
Russia,no_aml_severity,10,0.0066198763
Russia,no_aml_severity,11,0.0066684517
Russia,no_aml_severity,12,0.0066198763
Russia,no_payment_ban,1,0.005739906
Russia,no_payment_ban,2,0.0063663195
Russia,no_payment_ban,3,0.006366481
Russia,no_payment_ban,4,0.006311402
Russia,no_payment_ban,5,0.006421639
Russia,no_payment_ban,6,0.006431524
Russia,no_payment_ban,7,0.006387035
Russia,no_payment_ban,8,0.0064305863
Russia,no_payment_ban,9,0.0062685115
Russia,no_payment_ban,10,0.0064305863
Russia,no_payment_ban,11,0.0063787485
Russia,no_payment_ban,12,0.006387035
Russia,no_regulations,1,0.0059112087
Russia,no_regulations,2,0.006111858
Russia,no_regulations,3,0.006149302
Russia,no_regulations,4,0.0062071574
Russia,no_regulations,5,0.0062013566
Russia,no_regulations,6,0.006385192
Russia,no_regulations,7,0.0062136385
Russia,no_regulations,8,0.0063148644
Russia,no_regulations,9,0.006299428
Russia,no_regulations,10,0.0062683905
Russia,no_regulations,11,0.0062136385
Russia,no_regulations,12,0.006299428
Russia,max_regulations,1,0.0068389587
Russia,max_regulations,2,0.007233841
Russia,max_regulations,3,0.0074914317
Russia,max_regulations,4,0.007556009
Russia,max_regulations,5,0.007556009
Russia,max_regulations,6,0.0073699364
Russia,max_regulations,7,0.0072030737
Russia,max_regulations,8,0.0071087233
Russia,max_regulations,9,0.0073529724
Russia,max_regulations,10,0.007243368
Russia,max_regulations,11,0.0070850984
Russia,max_regulations,12,0.0070850984
Russia,no_tax_no_aml,1,0.0064774114
Russia,no_tax_no_aml,2,0.0067687132
Russia,no_tax_no_aml,3,0.006769166
Russia,no_tax_no_aml,4,0.006828396
Russia,no_tax_no_aml,5,0.0067837983
Russia,no_tax_no_aml,6,0.006728739
Russia,no_tax_no_aml,7,0.0068006655
Russia,no_tax_no_aml,8,0.0066469708
Russia,no_tax_no_aml,9,0.0067803822
Russia,no_tax_no_aml,10,0.0068006655
Russia,no_tax_no_aml,11,0.0066198763
